Title,Content,Date,Score,Username,Location,Contribution,Travel with,Review of
Long is the best!,"Long is the best, he gave a thorough insightful tour complete with great food stops, valuable Hanoi knowledge, and a stop front row unobstructed at train street. His passion for his work and his city of Hanoi is clearly visible when he led my tour.","September 16, 2024",5.0,J.R.,"Atlanta, GA",3,Solo,Hanoi Street Food Tour with local delicacies
Cherry was amazing,"The food choices were excellent but what made the tour was our guide, Cherry. She was extremely knowledgeable and made it fun. I loved all the chosen dishes and the egg coffee was amazing. Highly recommend this tour.","September 16, 2024",5.0,drh0lland,"Gold Coast, Australia",6,,Hanoi Street Food Tour with local delicacies
Best food tour in Hanoi! Long is the best!,"Long (Rik) is a true foodie like us. All the places he took us were absolutely delicious. He will answer to all our food and Vietnamese culture questions. He is very friendly and enjoys his tour.
              
              We would totally recommend to book his tour","September 16, 2024",5.0,Sofia D,,1,Family,Hanoi Street Food Tour with local delicacies
Excellent walking food tour!,"Rik Long is an amazing tour guide! Not just taking us to excellent local food spots, but also teaching us about the history and local culture of Vietnam and Hanoi. Would highly recommend!","September 16, 2024",5.0,Mark E,,1,Couples,Hanoi Street Food Tour with local delicacies
Great tour with Minh!,"Minh was such a knowledgeable and fun guide for our walking street food tour. Not only did he bring us to delicious spot after spot until we were full as could be, he gave us interesting context into each dish, shop owner, and his own experience with them. The conversation was fun, the belly was full, and we came away knowing so much more about Hanoi food and culture. Thanks for a great experience Minh!!!","September 16, 2024",5.0,Stefan K,,2,Couples,Hanoi Vegan Walking Street Food Tour in Old Quarter
UNREAL FOOD EXPERIENCE,"Rik Long was awesome! The food was incredible, eat everything he offered you, there wasn’t a single dish that we didn’t like. We were stuffed by the end, And stopped at seven or eight different food places. Amazing!","September 15, 2024",5.0,Tyler J,,2,Friends,Hanoi Street Food Tour with local delicacies
Food tour.,"The absolute word smith that was Long, did us a massive tour around loads of local spots. Long was very knowledgeable with the history and lore of the old quarter, which made the whole experience very enjoyable! A very satisfying tour, I would highly recommend! Cheers folk.","September 15, 2024",5.0,Callum L,,1,Friends,Hanoi Street Food Tour with local delicacies
Amazing Local tour guide and food,"Long was an amazing tour guide, he was very knowledgeable and pleasant to be around. We now have a few more food spots for our stay to go back to and enjoy. Everything was wonderful x","September 15, 2024",5.0,Inspire51372964544,,1,Friends,Hanoi Street Food Tour with local delicacies
Amazing,Long was amazing. Very detailed tour about the food and history of Vietnam. He was very friendly and the food was very tasty.,"September 15, 2024",5.0,Daniel,,5,Friends,Hanoi Street Food Tour with local delicacies
Lovely food and people,"Thank you to our tour guide Long, had not only lovely food but with the addition of the culture and history it made for a very valuable experience. I appreciated Long’s company and gave us some good laughs.
              

              Luke","September 15, 2024",5.0,Luke D,,1,Friends,Hanoi Street Food Tour with local delicacies
One of the best starts to any trip to Hanoi/Vietnam - don't miss out!,What an experience. The tour guy was fantastic and was helpful with any questions we had. Honestly he was like a long lost friend we haven't seen in a while - great start to the trip and enjoyed everything that was put in front of us. Highly recommend ⭐⭐⭐⭐⭐,"September 15, 2024",5.0,Christopher C,,1,,Hanoi Street Food Tour with local delicacies
